lon lat alt kmEast kmNorth ozone no2 pm25
-73.585128 41.004657 -9.10860449075699e-05 114.353096111173 4549.4101555248 50.31 NA NA
-73.443056 41.399167 0.128890228271484 128.548452107109 4592.60439594176 47.622 NA 8.69386
-73.103056 41.1525 0.00116444230079651 155.683447458136 4563.80669798132 49.994 NA NA
-73.336667 41.118333 0.00170480418205261 135.885293526646 4560.96439081039 48.83 NA 8.057759
-72.631667 41.784722 0.0142413530349731 198.199425465307 4632.25245830937 46.219 20.662824 7.175
-73.297257 41.821342 0.401593536376953 143.080160264285 4638.87431105873 47.549 6.006051 5.343697
-72.630015 41.552196 0.0508694267272949 197.247654145988 4606.42497949756 47.497 NA NA
-72.902871 41.3014 0.00165689718723297 173.229442563154 4579.56796675536 45.5 28.138827 8.267399
-72.55327 41.256788 0.000755613207817078 202.302192090312 4573.3550698151 48.71 NA NA
-72.07882 41.35362 0.0259318809509277 242.439410288523 4582.58793030116 46.394 NA 7.345455
-72.388056 41.976389 0.281372772216797 219.288068030581 4652.70915439254 43.706 NA NA
-72.010368 41.84046 0.205394973754883 250.053854336082 4636.44510420414 43.582 NA NA
-75.5568 38.986672 0.0166574840545654 -68.1306996316574 4335.79931218572 44.467 NA 8.05042
-75.732 39.5513 0.0214026069641113 -78.6374905355326 4399.65902746621 43.184 NA 8.268468
-75.563889 39.817222 0.0745355758666992 -62.0045759942078 4428.13448260682 47.314 NA NA
-75.496389 39.773889 0.0540405731201172 -56.5716669751266 4422.89557580067 44.267 NA NA
-75.558056 39.739444 0.0116763229370117 -62.1404784174397 4419.45517614986 46.798 24.845714 9.4386735
-75.6106 38.6539 0.00877121543884277 -75.4832608508579 4299.15862324043 44.337 NA 8.27395
-75.16323 38.7791 0.00105994844436646 -35.5639553079843 4310.34357254362 45.854 NA NA
-77.013178 38.921847 0.0432274856567383 -195.115016042552 4338.75378048288 44.483 26.421159 9.2002215
-77.016715 38.970092 0.0807117309570313 -194.947302445612 4344.14562921577 45.684 23.296944 NA
-70.124608 43.974622 0.0476642112731934 409.796913083915 4869.66887879878 36.377 NA NA
-68.033006 46.696431 0.144771057128906 573.931424224085 5171.88452315135 32.632 5.274627 NA
-68.4135 46.6041 0.223240859985352 544.917245917763 5161.33775711544 33.247 NA NA
-70.207324 43.561043 0.0206050281524658 402.492716371189 4823.82874566715 38.611 NA NA
-68.22698 44.351697 0.446609924316406 561.608966929856 4911.22680200463 42.7 NA NA
-68.2609 44.37705 0.143231262207031 558.880169319581 4914.01795054752 39.895 NA 4.214085
-69.785 44.230622 0.0557610816955566 437.3075645369 4897.78762246258 38.131 NA NA
-69.26059 43.917955 -1.09480468381662e-07 479.07865688904 4862.79334969132 38.959 NA NA
-70.860605 44.250922 0.223743591308594 351.457041660081 4901.42611723205 33.628 NA NA
-68.647677 44.952043 0.0363590545654297 527.791596790331 4977.68337850428 24.213 NA NA
-68.670752 44.735978 0.23433837890625 526.068678865259 4953.67430232354 37.82 NA NA
-69.82778 44.005 0.00204927849769592 433.638964121035 4872.76122386402 35.947 NA NA
-67.59587 44.531907 0.000517518281936645 611.564481457912 4931.91215099516 37.022 NA NA
-67.060728 44.963633 0.00943364143371582 652.94103583257 4980.73987553073 36.12 NA NA
-70.629138 43.656764 0.0904396133422852 368.633825131577 4835.04099011285 36.196 NA NA
-70.87734 43.58889 0.173290786743164 348.449168795358 4827.92558938629 38.383 NA NA
-70.471034 43.343167 0.00231498003005981 380.767091135576 4799.97473779758 40.19 NA NA
-76.653056 38.9025 0.033729434967041 -164.017611087817 4333.89923246342 46.071 NA NA
-76.631673 39.462029 0.11426774597168 -156.893981017522 4395.94664265336 49.95 NA 8.4179215
-76.474444 39.310833 0.0109239292144775 -144.745074721511 4377.99770394513 45.304 23.967593 10.065079
-76.617194 38.536722 0.0301848945617676 -164.304170202617 4292.9704617029 46.493 NA NA
-77.042252 39.444294 0.233222747802734 -192.454428474207 4397.070197242 45.75 NA NA
-75.860051 39.701444 0.103635047912598 -88.373375354126 4417.18066502391 47.188 NA NA
-76.811864 38.508547 0.040247859954834 -181.572320313985 4291.27246062022 46.738 NA NA
-76.141006 38.587525 0.00289178442955017 -122.284860230687 4295.26254585072 41.642 NA NA
-76.111274 38.444971 0.000537342309951782 -120.922075824323 4279.21493400761 45.944 NA NA
-77.37519 39.42276 0.0777386322021484 -221.383038469182 4397.30643364025 46.242 NA NA
-79.012 39.70595 0.746833923339844 -359.072083452521 4443.34218110302 44.638 4.381977 NA
-76.296946 39.410191 0.0091279764175415 -128.520828043287 4387.78292897257 45.38 NA NA
-76.203889 39.563333 0.121859649658203 -119.129040042493 4404.15617264929 46.044 NA NA
-75.797317 39.305021 0.0174509544372559 -86.3285833612829 4372.7145214882 47.036 NA NA
-77.106876 39.114313 0.115402099609375 -201.334823596779 4360.88015647431 46.307 NA NA
-76.878333 39.055277 0.0580761108398438 -182.110508989918 4352.56245469547 46.552 17.761864 8.4291665
-76.74417 38.81194 0.00976679515838623 -172.792217766415 4324.50251247615 46.351 NA 7.701936
-76.8171 39.0284 0.050250545501709 -177.060614785267 4349.11315243734 46.458 NA NA
-77.720244 39.564178 0.148213958740234 -249.612041112111 4415.87638586951 45.341 NA NA
-76.553075 39.328807 0.0368972549438477 -151.367533034051 4380.56322904507 47.42 NA NA
-70.023598 41.975804 0.0191990737915039 415.195457479222 4647.59644906375 43.019 NA NA
-71.169235 41.685707 0.0549755439758301 319.46275143822 4617.15502221662 42.322 NA 5.736441
